warehouse,product,supplier,stock_level,reorder_level,last_updated,transport_cost
WH-D,Keyboard,Supplier-V,712.0,12,2025-10-08,2452.85
WH-C,Router,Supplier-Y,919.0,77,2024-10-21,3241.58
WH-E,Tablet,Supplier-Y,374.0,282,2024-10-21,1123.26
WH-B,Tablet,Supplier-W,778.0,400,2025-01-01,1596.4
WH-B,Keyboard,Supplier-V,338.0,384,2025-11-27,1974.28
WH-A,Keyboard,Supplier-Z,733.0,336,2025-09-22,3054.87
WH-C,Router,Supplier-Y,745.0,290,2024-07-18,3403.66
WH-B,Router,Supplier-W,847.0,61,2025-12-30,4743.33
WH-C,Laptop,Supplier-W,727.0,68,2024-07-15,3227.72
WH-D,Laptop,Supplier-W,287.0,300,2026-04-15,2763.93
WH-E,Laptop,Supplier-X,554.0,381,2025-06-18,4770.74
WH-A,Mobile,Supplier-V,362.0,117,2025-01-22,4813.37
WH-B,Keyboard,,,241,2024-07-11,
WH-C,Router,Supplier-W,681.0,232,2026-02-04,1035.55
WH-C,Printer,Supplier-Z,433.0,449,2024-11-09,2104.87
WH-B,Router,Supplier-W,196.0,186,2025-11-16,1320.17
WH-C,Tablet,Supplier-Y,689.0,276,2025-05-18,4430.72
WH-B,Mouse,Supplier-X,354.0,3,2026-01-12,3933.84
WH-C,Mobile,Supplier-X,98.0,390,2025-03-13,4089.16
WH-B,Monitor,Supplier-V,721.0,58,2025-02-07,5020.55
WH-E,Mobile,Supplier-Y,773.0,45,2025-03-21,2473.93
WH-C,Tablet,Supplier-V,460.0,361,2026-05-17,2448.89
WH-B,Mouse,Supplier-W,822.0,165,2025-09-11,5122.45
WH-B,Keyboard,Supplier-Y,335.0,209,2024-11-19,3489.59
WH-D,Tablet,Supplier-Y,745.0,488,2024-12-19,4630.25
WH-D,Laptop,Supplier-V,448.0,431,2025-03-10,4510.33
WH-A,Laptop,Supplier-Z,529.0,477,2024-11-21,843.27
WH-C,Mouse,Supplier-X,107.0,309,2024-08-15,3055.14
WH-C,Laptop,Supplier-W,383.0,150,2025-03-28,4370.39
WH-D,Tablet,Supplier-Y,356.0,378,2024-08-08,2264.24
WH-C,Laptop,Supplier-X,111.0,382,2025-01-07,2863.96
WH-C,Monitor,Supplier-X,349.0,155,2024-07-25,4873.17
WH-E,Mobile,Supplier-W,776.0,360,2024-11-11,4807.62
WH-C,Mouse,Supplier-Y,359.0,46,2026-03-13,4095.56
WH-D,Mouse,Supplier-Z,528.0,288,2025-06-30,3871.56
WH-B,Router,Supplier-V,600.0,277,2024-10-30,2743.81
WH-A,Tablet,Supplier-X,373.0,85,2025-06-08,2747.12
WH-A,Router,Supplier-W,106.0,430,2025-06-08,4470.57
WH-E,Mouse,Supplier-V,47.0,466,2025-04-27,1207.29
WH-C,Mouse,Supplier-Z,94.0,491,2025-10-03,1356.74
WH-E,Tablet,Supplier-Y,677.0,294,2025-03-20,3716.25
WH-B,Tablet,Supplier-Z,573.0,375,2024-11-11,963.71
WH-A,Router,Supplier-Y,204.0,30,2025-09-01,2075.98
WH-B,Printer,Supplier-Y,493.0,121,2025-12-27,2788.49
WH-A,Router,Supplier-Z,114.0,419,2025-02-08,605.41
WH-C,Keyboard,Supplier-Z,492.0,294,2024-12-08,2884.73
WH-D,Printer,Supplier-V,412.0,404,2026-01-17,3309.8
WH-A,Monitor,Supplier-V,873.0,376,2025-02-10,4663.67
WH-B,Tablet,Supplier-W,57.0,180,2024-11-08,3189.1
WH-D,Router,Supplier-X,452.0,206,2024-07-12,1314.45
WH-A,Keyboard,Supplier-W,419.0,500,2025-04-03,3225.76
WH-E,Mobile,Supplier-X,975.0,428,2026-01-01,2476.27
WH-E,Laptop,Supplier-Y,612.0,493,2025-03-17,4571.15
WH-C,Printer,Supplier-Z,796.0,4,2024-11-24,5132.14
WH-A,Monitor,Supplier-W,49.0,277,2025-07-01,4878.71
WH-D,Router,Supplier-V,165.0,306,2025-12-26,3591.84
WH-D,Mouse,Supplier-V,672.0,285,2025-11-12,2888.9
WH-D,Router,Supplier-Y,103.0,202,2024-12-13,3708.55
WH-A,Router,Supplier-X,524.0,270,2026-01-29,4324.38
WH-B,Keyboard,Supplier-Z,981.0,174,2025-07-03,4260.35
WH-B,Printer,Supplier-Y,16.0,367,2025-02-15,4330.82
WH-E,Keyboard,Supplier-W,434.0,12,2024-07-11,4761.65
WH-A,Monitor,Supplier-V,616.0,149,2026-05-29,1226.81
WH-E,Mouse,Supplier-W,92.0,315,2025-03-11,2848.28
WH-D,Router,Supplier-X,819.0,92,2026-02-02,1953.11
WH-A,Mouse,Supplier-Y,830.0,312,2026-03-02,4436.62
WH-A,Router,Supplier-V,326.0,440,2026-05-19,4391.04
WH-B,Tablet,Supplier-X,111.0,413,2025-05-29,4696.0
WH-E,Laptop,Supplier-Y,131.0,264,2024-07-24,2713.72
WH-E,Mobile,Supplier-Y,732.0,299,2025-01-11,4848.74
WH-A,Mouse,Supplier-W,648.0,340,2026-03-29,4491.45
WH-C,Mobile,Supplier-X,557.0,500,2024-08-01,914.15
WH-E,Monitor,Supplier-V,940.0,14,2025-04-29,2288.6
WH-D,Monitor,Supplier-W,678.0,22,2024-12-15,3801.23
WH-A,Mobile,Supplier-Z,168.0,327,2026-04-22,3514.38
WH-D,Mobile,Supplier-Z,517.0,95,2024-12-26,2012.4
WH-A,Keyboard,Supplier-W,588.0,217,2025-10-06,1270.88
WH-B,Laptop,Supplier-V,163.0,139,2025-11-10,3523.43
WH-A,Keyboard,Supplier-Y,190.0,315,2024-09-25,2502.04
WH-B,Mouse,Supplier-V,908.0,89,2025-10-16,3074.98
WH-D,Tablet,Supplier-X,162.0,84,2026-05-07,3723.92
WH-E,Mobile,Supplier-V,591.0,398,2025-11-05,5182.49
WH-E,Monitor,Supplier-X,766.0,423,2025-06-19,5272.24
WH-D,Printer,Supplier-X,499.0,147,2026-06-18,4484.6
WH-C,Router,Supplier-X,826.0,166,2025-06-27,4658.42
WH-A,Mouse,Supplier-W,399.0,424,2025-12-24,1025.19
WH-B,Router,Supplier-V,309.0,463,2024-07-30,5143.58
WH-A,Printer,Supplier-Y,128.0,297,2026-02-14,777.47
WH-A,Monitor,Supplier-Z,629.0,406,2026-04-03,2740.12
WH-D,Router,Supplier-Z,433.0,95,2024-07-26,4600.5
WH-B,Mouse,Supplier-V,543.0,134,2025-08-31,2804.57
WH-D,Laptop,Supplier-V,870.0,239,2025-06-13,3578.98
WH-C,Mobile,Supplier-Z,464.0,333,2025-09-10,1227.23
WH-D,Tablet,Supplier-W,144.0,15,2024-08-05,3870.15
WH-D,Printer,Supplier-Y,705.0,67,2025-10-25,2807.27
WH-B,Printer,Supplier-Y,712.0,393,2025-01-21,2511.03
WH-C,Tablet,Supplier-V,320.0,89,2024-10-24,1828.11
WH-C,Mouse,Supplier-Y,801.0,40,2026-05-17,2505.41
WH-E,Router,Supplier-W,797.0,175,2026-04-20,2215.37
WH-D,Tablet,Supplier-Z,591.0,265,2025-03-09,4464.13
WH-C,Tablet,Supplier-X,619.0,34,2025-05-03,4936.87
WH-E,Mobile,Supplier-Y,754.0,380,2024-11-30,1736.36
WH-E,Printer,Supplier-V,919.0,288,2025-06-04,3422.51
WH-D,Mouse,Supplier-X,991.0,234,2025-08-05,1477.52
WH-C,Mouse,Supplier-W,849.0,500,2025-05-08,1122.29
WH-C,Printer,Supplier-W,692.0,297,2026-01-28,4867.96
WH-A,Keyboard,Supplier-Y,311.0,75,2025-12-25,4334.97
WH-C,Monitor,Supplier-Y,457.0,41,2025-02-24,4439.01
WH-B,Mouse,Supplier-Z,37.0,235,2024-08-07,2929.37
WH-D,Mobile,Supplier-V,691.0,38,2026-02-14,5049.92
WH-A,Tablet,Supplier-Y,396.0,489,2025-05-10,3955.78
WH-D,Keyboard,Supplier-V,195.0,70,2024-11-06,942.42
WH-A,Router,Supplier-X,41.0,108,2024-09-10,4918.92
WH-A,Mouse,Supplier-V,416.0,29,2024-07-24,2703.91
WH-E,Monitor,,,299,2025-11-11,
WH-D,Router,Supplier-Y,851.0,176,2025-12-21,1494.73
WH-A,Router,Supplier-Z,194.0,156,2026-01-01,3529.3
WH-E,Keyboard,Supplier-V,774.0,409,2025-05-28,4596.85
WH-D,Mobile,Supplier-W,767.0,348,2025-03-07,4438.57
WH-C,Tablet,Supplier-Y,268.0,49,2025-11-15,2149.55
WH-D,Tablet,Supplier-X,516.0,78,2025-02-07,3680.03
WH-E,Printer,Supplier-Z,905.0,329,2025-02-02,4094.03
WH-D,Monitor,,,368,2025-02-02,
WH-A,Mobile,Supplier-Y,691.0,134,2024-11-30,4965.86
WH-C,Monitor,Supplier-Z,803.0,149,2025-03-02,4000.54
WH-B,Tablet,Supplier-X,183.0,57,2024-10-03,983.96
WH-E,Laptop,Supplier-W,830.0,143,2024-10-09,3914.09
WH-D,Mobile,Supplier-X,920.0,484,2024-07-30,2976.36
WH-C,Monitor,,,342,2024-09-23,
WH-B,Tablet,Supplier-Z,60.0,336,2025-03-16,2108.76
WH-B,Laptop,Supplier-Z,454.0,435,2025-07-31,880.07
WH-A,Monitor,Supplier-X,926.0,261,2026-02-22,5036.25
WH-B,Mobile,Supplier-Y,312.0,110,2025-10-09,2305.86
WH-C,Monitor,Supplier-V,425.0,187,2024-10-31,3624.75
WH-C,Mouse,Supplier-X,757.0,308,2025-06-24,3681.28
WH-E,Keyboard,Supplier-Y,508.0,38,2025-01-27,3116.1
WH-B,Mouse,Supplier-X,359.0,220,2026-01-25,4335.49
WH-C,Monitor,Supplier-Y,495.0,3,2025-12-01,4774.77
WH-A,Monitor,Supplier-Y,257.0,356,2026-05-02,867.89
WH-C,Laptop,Supplier-V,319.0,283,2024-11-04,2355.36
WH-E,Tablet,Supplier-Y,523.0,403,2024-08-18,3263.38
WH-D,Router,Supplier-V,577.0,482,2025-04-14,1002.66
WH-A,Laptop,Supplier-Y,78.0,197,2024-07-08,3642.9
WH-D,Tablet,Supplier-W,283.0,386,2024-12-14,4369.87
WH-C,Tablet,Supplier-W,90.0,46,2025-08-01,3995.36
WH-C,Tablet,Supplier-Z,171.0,361,2026-05-16,2843.92
WH-C,Monitor,Supplier-X,461.0,132,2025-04-10,4359.43
WH-D,Monitor,Supplier-V,168.0,156,2025-06-06,3606.37
WH-D,Monitor,Supplier-X,280.0,384,2025-07-01,3968.62
WH-C,Tablet,Supplier-Y,949.0,23,2025-08-09,2323.57
WH-A,Keyboard,,,219,2026-03-02,
WH-B,Mouse,Supplier-Y,238.0,214,2026-02-13,2020.29
WH-B,Keyboard,Supplier-X,41.0,443,2024-09-21,4493.29
WH-B,Router,Supplier-V,945.0,419,2026-03-16,1877.65
WH-A,Mobile,Supplier-Y,438.0,66,2026-05-16,4596.69
WH-E,Tablet,Supplier-Y,791.0,69,2025-03-23,1449.84
WH-D,Mobile,Supplier-X,170.0,176,2024-12-09,3164.73
WH-E,Keyboard,Supplier-Y,217.0,3,2025-11-11,2874.75
WH-D,Monitor,Supplier-W,853.0,491,2026-05-08,2240.47
WH-B,Laptop,Supplier-V,560.0,175,2025-09-23,2664.98
WH-D,Printer,Supplier-V,240.0,469,2024-12-11,1767.52
WH-D,Laptop,Supplier-X,856.0,481,2024-07-16,1440.2
WH-D,Mobile,Supplier-W,903.0,19,2025-04-12,4511.87
WH-B,Printer,Supplier-Y,53.0,329,2026-02-20,3450.53
WH-A,Printer,Supplier-Y,488.0,223,2026-02-22,4227.95
WH-C,Tablet,Supplier-V,816.0,147,2024-10-04,2486.51
WH-C,Router,Supplier-V,864.0,498,2025-06-08,1831.16
WH-E,Keyboard,Supplier-W,99.0,330,2025-12-08,628.8
WH-B,Mobile,Supplier-W,780.0,49,2025-11-25,3044.4
WH-C,Tablet,Supplier-W,793.0,424,2025-10-22,2400.02
WH-C,Tablet,Supplier-Z,886.0,177,2024-10-17,1134.74
WH-A,Tablet,Supplier-Y,28.0,158,2026-04-10,3962.18
WH-E,Mouse,Supplier-X,916.0,351,2024-07-27,2476.27
WH-E,Mouse,Supplier-V,422.0,51,2024-10-18,2878.04
WH-D,Monitor,Supplier-V,406.0,13,2025-08-08,2500.51
WH-D,Keyboard,Supplier-V,692.0,496,2025-01-18,4928.56
WH-A,Tablet,Supplier-Y,356.0,200,2025-02-06,3939.72
WH-A,Mouse,Supplier-W,551.0,248,2024-10-20,4550.78
WH-C,Tablet,Supplier-V,700.0,138,2024-11-20,1610.8
WH-C,Mouse,Supplier-Y,241.0,246,2024-07-12,3963.49
WH-A,Keyboard,Supplier-Y,719.0,40,2024-11-12,3568.5
WH-E,Printer,Supplier-Y,288.0,282,2025-12-09,738.69
WH-A,Keyboard,Supplier-Z,226.0,302,2025-10-14,4103.5
WH-A,Keyboard,Supplier-W,122.0,263,2024-10-02,2052.34
WH-E,Keyboard,Supplier-Y,13.0,392,2026-03-22,4262.63
WH-D,Mobile,Supplier-Y,855.0,180,2025-11-28,1517.1
WH-B,Mouse,Supplier-V,58.0,438,2024-07-24,4424.41
WH-E,Monitor,Supplier-Z,340.0,488,2025-11-19,1539.93
WH-B,Router,Supplier-Z,20.0,296,2024-07-21,4573.24
WH-A,Monitor,Supplier-V,326.0,233,2025-01-31,4728.23
WH-E,Mobile,Supplier-W,50.0,230,2026-03-23,2960.4
WH-C,Router,Supplier-W,967.0,33,2026-04-29,5276.84
WH-D,Mobile,Supplier-Y,76.0,233,2025-02-17,1681.32
WH-B,Monitor,Supplier-X,469.0,212,2025-06-21,3564.13
WH-D,Tablet,Supplier-Y,494.0,131,2026-02-24,2584.33
WH-C,Tablet,Supplier-V,357.0,5,2025-05-21,801.2
WH-B,Router,Supplier-W,537.0,100,2024-10-15,2025.36
WH-A,Tablet,Supplier-Z,473.0,148,2026-02-27,4000.42
WH-D,Mouse,Supplier-X,158.0,342,2025-06-05,4106.53
WH-B,Keyboard,Supplier-Z,964.0,365,2025-10-20,1103.63
WH-E,Laptop,Supplier-Y,576.0,321,2025-08-14,4958.51
WH-E,Monitor,Supplier-X,548.0,390,2024-08-21,4350.88
WH-D,Keyboard,Supplier-Z,321.0,253,2024-07-26,4157.35
WH-A,Mobile,Supplier-Y,181.0,376,2026-04-02,2650.54
WH-D,Printer,Supplier-W,898.0,193,2026-01-03,4497.37
WH-E,Tablet,Supplier-W,767.0,63,2025-05-24,4198.7
WH-A,Keyboard,Supplier-X,792.0,355,2025-08-20,2028.33
WH-E,Printer,Supplier-X,963.0,27,2026-04-12,3222.63
WH-C,Keyboard,Supplier-X,159.0,452,2026-04-05,2135.16
WH-B,Printer,Supplier-Z,751.0,381,2025-09-18,1266.43
WH-B,Monitor,Supplier-V,895.0,228,2026-06-22,4854.88
WH-A,Keyboard,Supplier-V,441.0,255,2026-04-01,3660.79
WH-D,Keyboard,Supplier-V,810.0,91,2026-03-05,2321.98
WH-D,Mouse,Supplier-X,526.0,204,2026-07-03,4103.93
WH-C,Mouse,Supplier-Y,383.0,272,2025-07-26,3168.72
WH-C,Mouse,Supplier-V,803.0,218,2026-04-23,3360.73
WH-A,Keyboard,Supplier-W,360.0,210,2024-10-24,1726.19
WH-A,Keyboard,Supplier-X,620.0,439,2025-10-11,1991.04
WH-E,Router,Supplier-Y,360.0,384,2025-06-30,4375.26
WH-E,Mobile,Supplier-Y,551.0,327,2024-12-06,2904.89
WH-A,Mouse,Supplier-X,273.0,387,2025-12-21,1054.45
WH-D,Router,Supplier-Z,548.0,150,2025-12-26,2242.63
WH-E,Printer,Supplier-Z,571.0,121,2025-04-18,3542.72
WH-E,Monitor,Supplier-W,254.0,237,2025-07-18,4558.61
WH-B,Router,Supplier-Y,690.0,237,2024-10-14,3998.45
WH-B,Monitor,Supplier-Y,576.0,311,2026-05-20,3622.22
WH-A,Keyboard,Supplier-X,370.0,262,2024-08-31,4070.33
WH-D,Router,,,40,2026-02-05,
WH-B,Printer,Supplier-Y,771.0,106,2025-08-21,3249.88
WH-C,Mobile,Supplier-V,178.0,57,2026-04-01,4791.21
WH-C,Mouse,Supplier-X,203.0,198,2025-05-13,3017.1
WH-D,Monitor,Supplier-Z,120.0,297,2024-10-28,948.93
WH-D,Tablet,Supplier-X,467.0,192,2025-01-08,4853.15
WH-D,Printer,Supplier-V,919.0,139,2026-06-07,4945.11
WH-D,Monitor,Supplier-Y,966.0,454,2025-12-03,3864.15
WH-C,Mouse,Supplier-Z,34.0,477,2026-05-10,4000.24
WH-A,Router,Supplier-Y,712.0,288,2025-02-01,2910.93
WH-B,Printer,,,151,2025-07-19,
WH-E,Mouse,Supplier-Y,646.0,113,2025-02-09,3881.82
WH-C,Router,Supplier-Z,95.0,54,2025-05-21,1175.05
WH-C,Keyboard,Supplier-W,581.0,55,2025-05-13,1203.7
WH-B,Tablet,Supplier-Z,904.0,233,2025-05-22,2581.08
WH-C,Mobile,Supplier-Z,981.0,452,2025-01-06,1952.39
WH-E,Mobile,Supplier-Y,944.0,36,2026-03-08,3443.46
WH-E,Laptop,Supplier-X,132.0,477,2025-04-10,1315.84
WH-A,Keyboard,Supplier-Z,469.0,399,2025-09-21,1945.46
WH-C,Printer,Supplier-X,481.0,32,2024-08-14,4259.47
WH-C,Mobile,Supplier-X,748.0,72,2025-02-26,2183.06
WH-B,Laptop,Supplier-Z,450.0,428,2025-07-07,5157.3
WH-E,Tablet,Supplier-X,926.0,411,2025-12-23,2125.65
WH-E,Mobile,Supplier-Z,938.0,251,2026-03-08,3883.37
WH-E,Mouse,Supplier-Y,730.0,40,2026-01-29,1602.31
WH-C,Router,Supplier-X,920.0,190,2024-07-14,2613.01
WH-D,Mouse,Supplier-V,416.0,435,2025-08-31,1620.61
WH-D,Keyboard,Supplier-X,167.0,98,2024-08-31,2034.83
WH-C,Mouse,Supplier-W,43.0,32,2025-09-18,4860.81
WH-C,Router,Supplier-Z,697.0,43,2026-01-09,4166.23
WH-B,Router,Supplier-Z,511.0,31,2026-02-17,4659.89
WH-C,Mouse,Supplier-V,276.0,424,2024-12-07,1860.85
WH-E,Keyboard,Supplier-W,19.0,206,2025-08-30,2555.6
WH-B,Printer,Supplier-Y,275.0,364,2026-01-21,2764.07
WH-C,Monitor,,,320,2025-05-28,
WH-C,Laptop,Supplier-Y,153.0,425,2026-01-16,4779.89
WH-A,Mouse,Supplier-Y,153.0,77,2024-08-28,2090.29
WH-A,Mobile,Supplier-V,104.0,367,2024-09-28,3170.12
WH-D,Laptop,Supplier-Y,398.0,16,2025-07-07,3755.36
WH-B,Laptop,Supplier-W,403.0,382,2025-02-07,1310.93
WH-E,Printer,Supplier-Z,943.0,244,2025-09-15,1055.92
WH-B,Laptop,Supplier-Z,535.0,372,2025-08-01,4396.43
WH-C,Printer,Supplier-Z,959.0,26,2024-07-09,5106.85
WH-A,Monitor,Supplier-X,72.0,328,2026-04-23,1529.08
WH-C,Router,Supplier-Z,473.0,109,2025-10-16,4735.66
WH-B,Tablet,Supplier-Z,411.0,316,2025-09-15,3736.68
WH-D,Tablet,Supplier-Z,751.0,23,2025-09-06,2051.14
WH-B,Mouse,Supplier-X,740.0,58,2026-02-28,951.71
WH-A,Router,Supplier-Z,231.0,365,2026-03-25,980.62
WH-D,Mobile,Supplier-Z,371.0,456,2025-08-01,3114.56
WH-D,Keyboard,Supplier-Z,127.0,148,2026-03-15,4837.52
WH-E,Keyboard,Supplier-X,627.0,231,2024-09-17,1977.26
WH-E,Router,,,382,2026-04-04,
WH-B,Printer,Supplier-Z,297.0,104,2025-05-24,4404.81
WH-A,Monitor,Supplier-Z,323.0,276,2025-01-08,2421.75
WH-E,Keyboard,Supplier-Y,576.0,330,2024-10-25,5261.95
WH-E,Keyboard,Supplier-X,913.0,430,2024-09-14,3524.66
WH-C,Router,Supplier-W,129.0,118,2025-04-28,1583.39
WH-A,Router,Supplier-V,527.0,283,2024-11-01,1849.96
WH-D,Mouse,Supplier-X,64.0,65,2024-08-11,2810.76
WH-A,Laptop,Supplier-Z,448.0,339,2024-08-10,5212.69
WH-A,Tablet,Supplier-Y,920.0,105,2025-09-27,4892.32
WH-B,Router,Supplier-V,556.0,195,2026-02-16,3870.75
WH-D,Laptop,Supplier-Z,48.0,286,2024-08-15,859.1
WH-B,Mobile,Supplier-Z,33.0,132,2025-03-05,4870.3
WH-A,Router,Supplier-X,293.0,176,2026-05-14,4343.1
WH-A,Printer,Supplier-Z,815.0,258,2024-10-07,2005.42
WH-D,Tablet,Supplier-X,79.0,450,2025-12-11,2854.0
WH-B,Printer,Supplier-Y,587.0,75,2026-01-30,1037.84
WH-B,Printer,Supplier-Y,762.0,108,2026-03-11,3687.54
WH-C,Monitor,Supplier-V,848.0,365,2024-07-24,1750.79
WH-E,Laptop,Supplier-V,949.0,266,2026-03-05,1784.88
WH-E,Tablet,Supplier-X,193.0,45,2025-11-17,3628.47
WH-B,Printer,Supplier-Y,528.0,329,2025-10-09,4549.6
WH-B,Keyboard,Supplier-X,919.0,452,2026-03-16,2502.95
WH-C,Laptop,Supplier-V,246.0,349,2026-04-10,2994.2
WH-A,Mouse,Supplier-Y,639.0,339,2025-12-18,2259.21
WH-D,Keyboard,Supplier-X,592.0,419,2025-05-11,3954.9
WH-C,Keyboard,Supplier-Z,184.0,288,2025-09-04,2345.74
WH-B,Laptop,Supplier-W,363.0,188,2025-08-09,4894.43
WH-A,Router,Supplier-W,958.0,466,2024-10-21,5332.23
WH-C,Keyboard,Supplier-Y,40.0,417,2024-09-13,3772.57
WH-C,Printer,Supplier-X,551.0,469,2025-07-03,1700.52
WH-B,Tablet,Supplier-Y,207.0,302,2026-02-21,3784.02
WH-A,Keyboard,Supplier-V,302.0,393,2025-09-23,2946.38
WH-D,Mouse,Supplier-Y,595.0,476,2024-11-19,3901.77
WH-C,Monitor,Supplier-W,297.0,454,2024-12-24,2137.34
WH-B,Monitor,Supplier-Z,598.0,143,2026-05-10,4881.38
WH-C,Monitor,Supplier-Z,111.0,49,2024-09-02,2070.31
WH-B,Mobile,Supplier-V,359.0,25,2025-09-22,4185.73
WH-E,Laptop,Supplier-Y,78.0,492,2024-09-09,1423.6
WH-B,Tablet,Supplier-X,947.0,167,2025-12-13,1719.09
WH-A,Mobile,Supplier-W,9.0,286,2026-06-01,1564.52
WH-E,Tablet,Supplier-X,788.0,302,2024-09-25,4918.03
WH-A,Router,Supplier-V,270.0,12,2025-02-17,1472.51
WH-E,Printer,Supplier-W,906.0,270,2026-01-01,1305.13
WH-C,Printer,Supplier-Y,843.0,273,2025-03-24,3138.59
WH-A,Mouse,Supplier-V,478.0,499,2024-08-17,2669.68
WH-E,Laptop,Supplier-W,651.0,294,2025-08-15,4211.76
WH-E,Laptop,Supplier-Y,8.0,430,2024-07-06,2650.16
WH-A,Tablet,Supplier-Z,985.0,208,2025-01-21,1432.69
WH-A,Mobile,Supplier-Y,49.0,326,2025-04-13,1110.4
WH-B,Router,Supplier-X,466.0,189,2025-12-01,834.98
WH-A,Router,Supplier-V,913.0,450,2025-10-08,2884.03
WH-D,Mouse,Supplier-V,946.0,248,2025-03-21,3719.62
WH-D,Mobile,Supplier-W,272.0,296,2025-08-12,1671.31
WH-E,Tablet,Supplier-Z,554.0,313,2026-03-29,1054.61
WH-A,Router,Supplier-V,344.0,185,2025-09-17,1026.04
WH-E,Router,Supplier-W,828.0,457,2024-12-27,1690.42
WH-B,Mouse,Supplier-X,259.0,361,2025-03-01,2068.34
WH-C,Keyboard,Supplier-Y,24.0,367,2025-01-09,2500.8
WH-E,Router,,,278,2025-09-22,
WH-A,Mobile,Supplier-V,408.0,90,2025-01-04,2294.9
WH-C,Mobile,Supplier-Y,591.0,421,2025-11-05,3893.29
WH-D,Laptop,,,116,2025-05-01,
WH-C,Laptop,Supplier-Z,708.0,401,2024-10-12,1574.48
WH-E,Tablet,Supplier-X,304.0,292,2026-02-24,4166.69
WH-C,Mobile,Supplier-Z,105.0,375,2025-09-12,774.24
WH-A,Router,Supplier-W,246.0,468,2025-07-29,4651.9
WH-C,Monitor,Supplier-W,698.0,77,2026-06-29,2291.17
WH-A,Keyboard,Supplier-V,880.0,410,2026-06-24,4717.22
WH-A,Router,Supplier-Y,782.0,79,2026-02-17,3925.78
WH-E,Mouse,Supplier-W,277.0,240,2025-12-15,1192.26
WH-B,Keyboard,Supplier-X,711.0,468,2025-06-01,1110.31
WH-D,Monitor,Supplier-Z,451.0,470,2026-02-28,3866.88
WH-C,Tablet,Supplier-W,355.0,14,2026-04-30,1129.24
WH-C,Router,Supplier-X,684.0,48,2024-12-01,3626.67
WH-B,Monitor,Supplier-X,553.0,202,2024-07-03,2531.67
WH-E,Router,Supplier-X,103.0,61,2025-12-27,1662.52
WH-B,Printer,Supplier-Y,963.0,276,2025-02-11,2519.34
WH-E,Mouse,Supplier-Y,807.0,110,2025-06-29,5342.76
WH-E,Router,Supplier-X,367.0,239,2024-08-18,1962.57
WH-B,Monitor,Supplier-W,812.0,71,2026-02-04,4144.57
WH-E,Mobile,Supplier-X,795.0,327,2025-07-07,3547.97
WH-C,Laptop,Supplier-V,903.0,476,2024-09-29,2047.68
WH-A,Tablet,,,16,2025-07-11,
WH-A,Tablet,Supplier-W,356.0,40,2024-09-12,3068.66
WH-C,Mobile,Supplier-X,815.0,430,2026-03-15,2602.9
WH-C,Monitor,Supplier-V,306.0,199,2025-05-26,743.4
WH-A,Monitor,Supplier-Y,788.0,30,2026-01-23,3063.64
WH-C,Printer,Supplier-X,820.0,274,2025-11-29,1153.85
WH-D,Mobile,Supplier-Z,875.0,379,2025-09-06,2843.62
WH-C,Tablet,Supplier-V,76.0,264,2025-11-23,4736.97
WH-E,Printer,Supplier-X,349.0,54,2025-10-30,4103.26
WH-E,Printer,Supplier-Z,902.0,254,2025-01-04,4635.42
WH-B,Printer,Supplier-X,599.0,34,2025-04-16,1610.06
WH-D,Monitor,Supplier-V,822.0,155,2025-04-18,2316.72
WH-A,Laptop,Supplier-X,653.0,220,2026-03-16,4267.66
WH-E,Laptop,Supplier-X,425.0,273,2025-09-16,4759.0
WH-A,Mobile,Supplier-Y,21.0,255,2025-12-22,4751.59
WH-C,Mobile,Supplier-X,654.0,499,2026-03-17,2478.97
WH-D,Monitor,Supplier-V,721.0,416,2024-12-16,1970.06
WH-C,Keyboard,Supplier-Z,719.0,166,2025-02-16,3537.55
WH-E,Keyboard,Supplier-W,431.0,81,2025-08-20,1686.6
WH-B,Monitor,Supplier-Y,268.0,112,2025-03-08,919.2
WH-E,Router,Supplier-Z,959.0,241,2025-01-14,5069.59
WH-D,Mouse,Supplier-X,554.0,297,2025-07-16,1759.63
WH-D,Printer,Supplier-Y,711.0,153,2026-03-27,5187.14
WH-C,Tablet,Supplier-Z,105.0,392,2024-09-24,1456.87
WH-A,Mouse,Supplier-Y,774.0,464,2025-01-03,2087.07
WH-A,Printer,Supplier-V,221.0,129,2025-11-05,3334.92
WH-D,Tablet,Supplier-Z,877.0,292,2025-09-02,2751.02
WH-B,Printer,Supplier-Z,110.0,47,2025-09-08,1169.65
WH-A,Keyboard,Supplier-Z,815.0,477,2025-01-16,944.14
WH-E,Keyboard,Supplier-W,637.0,349,2025-03-08,4461.94
WH-A,Printer,Supplier-W,869.0,294,2026-02-27,1362.76
WH-B,Mobile,Supplier-Y,668.0,52,2026-03-27,3428.02
WH-D,Monitor,Supplier-X,172.0,57,2025-08-04,1381.05
WH-E,Tablet,Supplier-W,590.0,416,2025-11-14,1973.8
WH-E,Tablet,Supplier-X,888.0,192,2025-03-03,3593.9
WH-E,Printer,Supplier-Y,467.0,18,2025-02-10,1648.86
WH-D,Tablet,Supplier-Z,985.0,93,2024-09-22,1974.58
WH-E,Router,Supplier-Z,217.0,219,2026-04-11,1549.57
WH-E,Tablet,Supplier-V,732.0,224,2025-12-29,3572.78
WH-C,Tablet,Supplier-X,344.0,18,2026-06-28,1913.51
